format is (<name> <TYPE>, <frequency>)
('st kennis city GPE', 2)
('st johns GPE', 2)
('st john GPE', 2)
("st james's ORG", 2)
('st germans NORP', 2)
('st george GPE', 2)
('st dennis GPE', 2)
('st davits GPE', 2)
('st albans ORG', 2)
('spanih portugal italy trades ORG', 2)
('spain portugal GPE', 2)
('southampton GPE', 2)
('south east LOC', 2)
('some months DATE', 2)
('some millions CARDINAL', 2)
('some few days DATE', 2)
('so many thousands CARDINAL', 2)
('so many millions CARDINAL', 2)
('sixty thousand CARDINAL', 2)
('sixty per cent MONEY', 2)
('sixteen pence MONEY', 2)
('six thousand CARDINAL', 2)
('six quarters DATE', 2)
('six or seven years of age DATE', 2)
('six or seven thousand miles CARDINAL', 2)
('six or eight pounds QUANTITY', 2)
('six miles QUANTITY', 2)
('six hundred CARDINAL', 2)
('siriam PERSON', 2)
('several hours TIME', 2)
('several days DATE', 2)
('seventy years DATE', 2)
('seventeen years DATE', 2)
('seven pounds QUANTITY', 2)
('seven per cent MONEY', 2)
('seven pence MONEY', 2)
('seven or eight CARDINAL', 2)
('seven days DATE', 2)
('sepulchre GPE', 2)
('sci ORG', 2)
('saturday morning TIME', 2)
('samuel grimston PERSON', 2)
('samuel dashwood PERSON', 2)
('samuel dahwood PERSON', 2)
('samuel barnardiston PERSON', 2)
('sam taylor PERSON', 2)
('sam salami sam PERSON', 2)
('sam ho e price PERSON', 2)
("s nowel's PERSON", 2)
('ruffians NORP', 2)
('rome GPE', 2)
('roger whitley PERSON', 2)
('roger mortimer PERSON', 2)
('roger jones PERSON', 2)
('roger grey PERSON', 2)
('roger darcy lj PERSON', 2)
('roger boyle earl PERSON', 2)
('roger boyle PERSON', 2)
('roe LAW', 2)
('robert wright PERSON', 2)
('robert wells PERSON', 2)
('robert preston PERSON', 2)
('robert parker PERSON', 2)
('robert needham PERSON', 2)
('robert merits PERSON', 2)
('robert kemp PERSON', 2)
('robert howard knight PERSON', 2)
('robert holms PERSON', 2)
('robert gardiner PERSON', 2)
('robert forth PERSON', 2)
('robert digbey PERSON', 2)
('robert de ufford PERSON', 2)
('robert de ashton PERSON', 2)
('robert bridgeway PERSON', 2)
('robert brakenbury PERSON', 2)
('robert barnwell PERSON', 2)
('richard wingfield PERSON', 2)
('richard williams PERSON', 2)
('richard weston PERSON', 2)
('richard temple knight PERSON', 2)
('richard stern PERSON', 2)
('richard southbey PERSON', 2)
('richard slater PERSON', 2)
('richard norton PERSON', 2)
('richard newport PERSON', 2)
('richard mason knight PERSON', 2)
('richard marshall PERSON', 2)
('richard lumley PERSON', 2)
("richard letchford's PERSON", 2)
('richard lee PERSON', 2)
('richard lawrence PERSON', 2)
('richard hampton PERSON', 2)
('richard grahme PERSON', 2)
('richard farrington PERSON', 2)
('richard de peck PERSON', 2)
('richard corbet PERSON', 2)
('richard bourk PERSON', 2)
('richard birmingham PERSON', 2)
('richard ayliffe PERSON', 2)
('rice rud PERSON', 2)
('republicans NORP', 2)
('raymond le grossreduceth PERSON', 2)
('ralph piercey PERSON', 2)
('ralph dutton PERSON', 2)
('ralph delaval PERSON', 2)
('ralph carr knight PERSON', 2)
('ralph PERSON', 2)
('r de ufford PERSON', 2)
('quantum mutatus ab illo ORG', 2)
('quam quidem sursum PERSON', 2)
('quae DATE', 2)
('ps ORG', 2)
('propos ORG', 2)
('probus ORG', 2)
('pro comitatu PERSON', 2)
('price s janua lunchroom ORG', 2)
('portugal italy ORG', 2)
('portsmouth george FAC', 2)
('philip sidney PERSON', 2)
('philip parker PERSON', 2)
('philip folly PERSON', 2)
('philip de courtney ORG', 2)
('phil mariae PERSON', 2)
('peter warburton PERSON', 2)
('persia japan GPE', 2)
('persia arabia GPE', 2)
('paul davies PERSON', 2)
('parochia NORP', 2)
('parker ORG', 2)
('pagan nations ORG', 2)
('oxford ORG', 2)
('ormond marquess PERSON', 2)
('ormond lt gerald earl ORG', 2)
('ormond lj thomas FAC', 2)
('ormond birmingham hanged GPE', 2)
('ophaly ORG', 2)
('only two years DATE', 2)
('only two months DATE', 2)
('only three CARDINAL', 2)
('only four CARDINAL', 2)
('one nights DATE', 2)
("one night's TIME", 2)
('one hundred thousand pounds QUANTITY', 2)
('one hundred thouand pounds QUANTITY', 2)
('one hundred butts QUANTITY', 2)
('one hundred and fifty thousand pounds CARDINAL', 2)
('one hundred and eighty dollars CARDINAL', 2)
('one half penny MONEY', 2)
('one evening TIME', 2)
('ome years DATE', 2)
('ome days DATE', 2)
('oliver cromwell PERSON', 2)
('olito non oneretur eu PERSON', 2)
('okehampton GPE', 2)
('offa GPE', 2)
('o long ago DATE', 2)
('northamptonshire GPE', 2)
('northampton ralph montague esq ORG', 2)
('northampton john parkhurst PERSON', 2)
('northampton ORG', 2)
('northallerton GPE', 2)
('niversal ORG', 2)
('ninety CARDINAL', 2)
('nineteenth ORDINAL', 2)
('nights TIME', 2)
('nicholas st laurence PERSON', 2)
('nicholas slanning knight PERSON', 2)
('nicholas sanderson PERSON', 2)
('nicholas herle PERSON', 2)
('nicholas glen PERSON', 2)
('nicholas carew PERSON', 2)
('nicholas arnold PERSON', 2)
('next years DATE', 2)
('newton GPE', 2)
('nathaniel bond PERSON', 2)
('muskry richard mulleneux PERSON', 2)
('murray ORG', 2)
('munster marl p PERSON', 2)
('mucovia PERSON', 2)
('more than years DATE', 2)
('more than two CARDINAL', 2)
('montgarret william villars PERSON', 2)
('monsieur bodin PERSON', 2)
('monetae anglia ORG', 2)
('milton william PERSON', 2)
('milton PERSON', 2)
('michael the PERSON', 2)
('michael harvey PERSON', 2)
('michael boyle PERSON', 2)
('michael biddulph PERSON', 2)
('memento GPE', 2)
('mecha GPE', 2)
('mayn ORG', 2)
('maurice justice PERSON', 2)
('massereene GPE', 2)
('maryburg GPE', 2)
('mary secundo PERSON', 2)
('many years past DATE', 2)
('many weeks DATE', 2)
('majesty king PERSON', 2)
('majesties supreme court of justice ORG', 2)
('magdalen college ORG', 2)
('mac william burck PERSON', 2)
('mac gohagon PERSON', 2)
('lt earl PERSON', 2)
('los thereof GPE', 2)
('longsord henry ORG', 2)
('lixmew william PERSON', 2)
('literas ORG', 2)
('libris PERSON', 2)
('levinz PERSON', 2)
('less than a penny MONEY', 2)
('leonard bilson PERSON', 2)
('leitrim lucan bridge ORG', 2)
('leghornfree ports hath ORG', 2)
('leghorn free ports hath ORG', 2)
('knight william gee esq PERSON', 2)
('knight university of cambridge ORG', 2)
('knight thomas turgis PERSON', 2)
('knight thomas frewen PERSON', 2)
('knight george fulford PERSON', 2)
('knight barons ORG', 2)
('kirby DATE', 2)
('kinsale patrick fits morris ORG', 2)
('kinsale kerry hoath ORG', 2)
('kingston PERSON', 2)
('kingston ORG', 2)
("king henry's ORG", 2)
("king henry's GPE", 2)
('kilultagh miles QUANTITY', 2)
('kilmurry valentia PERSON', 2)
('killard kingston PERSON', 2)
('kenwolf GPE', 2)
('june two DATE', 2)
('joseph williamson PERSON', 2)
('joseph creswick PERSON', 2)
('john within PERSON', 2)
('john viscount PERSON', 2)
('john tufton PERSON', 2)
('john trenchard PERSON', 2)
('john trefry PERSON', 2)
('john thorold PERSON', 2)
('john tanner PERSON', 2)
('john swynfen PERSON', 2)
('john sutton PERSON', 2)
('john stratford PERSON', 2)
('john stonehouse PERSON', 2)
('john salisbury PERSON', 2)
('john rowden PERSON', 2)
('john power PERSON', 2)
('john powell PERSON', 2)
('john percivall PERSON', 2)
('john pennington PERSON', 2)
('john parrot PERSON', 2)
('john norton PERSON', 2)
('john norris PERSON', 2)
('john nicholas knight PERSON', 2)
('john miler PERSON', 2)
('john maynard knight PERSON', 2)
('john lord berkley PERSON', 2)
('john lloyd PERSON', 2)
('john lloid PERSON', 2)
('john lemot PERSON', 2)
('john leigh esq PERSON', 2)
('john hunt PERSON', 2)
('john holman PERSON', 2)
('john holland PERSON', 2)
('john hobert PERSON', 2)
('john hewley PERSON', 2)
('john herdsman PERSON', 2)
('john henry PERSON', 2)
('john hartop PERSON', 2)
('john harman PERSON', 2)
('john guise PERSON', 2)
('john fenwick PERSON', 2)
('john dutton PERSON', 2)
('john dolphin john PERSON', 2)
('john denham PERSON', 2)
('john de la PERSON', 2)
('john de grey PERSON', 2)
('john de courcey earl PERSON', 2)
('john de bromwhich PERSON', 2)
('john dave PERSON', 2)
('john cook PERSON', 2)
('john clobery knight PERSON', 2)
('john cheney PERSON', 2)
('john charleton PERSON', 2)
('john bush PERSON', 2)
('john burrard esq PERSON', 2)
('john buller PERSON', 2)
('john brooke PERSON', 2)
('john bowyer PERSON', 2)
('john borlase PERSON', 2)
('john blunt PERSON', 2)
('john blagrave esq PERSON', 2)
('john birmingham mac morris PERSON', 2)
('john beset PERSON', 2)
('john banks PERSON', 2)
('john ballat PERSON', 2)
('john baker PERSON', 2)
('john arnold PERSON', 2)
('john archer PERSON', 2)
('jo darcy PERSON', 2)
('james smith PERSON', 2)
('james sirnam PERSON', 2)
('james host PERSON', 2)
('james hamleton PERSON', 2)
('james gould PERSON', 2)
('james crofts PERSON', 2)
('james audley PERSON', 2)
('james PERSON', 2)
('jacob tonson PERSON', 2)
('ja PERSON', 2)
('injuriam quando PERSON', 2)
('iniskilline francis ansley ORG', 2)
('ibrecane mac ORG', 2)
('hundred thouand pounds QUANTITY', 2)
('humphrey wharton PERSON', 2)
('humphrey stafford PERSON', 2)
('hudon GPE', 2)
('hour TIME', 2)
('houblon PERSON', 2)
('honiton GPE', 2)
('holland zealand GPE', 2)
('his th year DATE', 2)
('his second year DATE', 2)
('his days DATE', 2)
('hindon GPE', 2)
('herbottle grimston PERSON', 2)
('henry tichburne PERSON', 2)
('henry st john esq PERSON', 2)
('henry parker PERSON', 2)
('henry mildmay PERSON', 2)
('henry ford PERSON', 2)
('henry dean PERSON', 2)
('henry bull PERSON', 2)
('henry booth PERSON', 2)
('henry beaumont PERSON', 2)
('hen sidney PERSON', 2)
('heartily PERSON', 2)
('hath PERSON', 2)
('harcourt GPE', 2)
('harbottle grimston PERSON', 2)
('hanm earl strongbow warden PRODUCT', 2)
('han p k john PERSON', 2)
('hamilton PERSON', 2)
('half merchant half CARDINAL', 2)
('habuisse doloris PERSON', 2)
('great britain ORG', 2)
('gre ORG', 2)
('gordon PERSON', 2)
('gilbert gerard PERSON', 2)
('george speak PERSON', 2)
('george pelham PERSON', 2)
('george hungerford PERSON', 2)
('george barclay PERSON', 2)
('general court hall otherwie ORG', 2)
('geashell william harvey of rosse ORG', 2)
('garret aylmer PERSON', 2)
('freeman CARDINAL', 2)
('francis thompson PERSON', 2)
('francis russel PERSON', 2)
('francis roll PERSON', 2)
('francis bryan PERSON', 2)
('fourteen pound QUANTITY', 2)
('four lat years DATE', 2)
('four last years DATE', 2)
('four and twenty miles QUANTITY', 2)
('forty-one CARDINAL', 2)
('forty pounds QUANTITY', 2)
('foot CARDINAL', 2)
('five thousand pounds QUANTITY', 2)
('five or six weeks DATE', 2)
('five or six CARDINAL', 2)
('five inches QUANTITY', 2)
('five hundred thousand pounds MONEY', 2)
('five hundred or CARDINAL', 2)
("fitz-harris's ORG", 2)
('fifty years DATE', 2)
('fifty thousand DATE', 2)
('fifty or sixty pounds QUANTITY', 2)
('few days DATE', 2)
('fed ORG', 2)
('fairfax city GPE', 2)
('executionem suam de debito PERSON', 2)
('everal years DATE', 2)
('espy PERSON', 2)
('england france ORG', 2)
('ely sapcot beaumont FAC', 2)
('elizabetham grey de civitate PERSON', 2)
('elizabetham grey de civitat PERSON', 2)
('elizabetham grey de civit PERSON', 2)
('eleven or twelve CARDINAL', 2)
('eighty years DATE', 2)
('eighty per cent MONEY', 2)
('eighth DATE', 2)
('eighteen-pence MONEY', 2)
('eighteen years DATE', 2)
('eight thousand pounds QUANTITY', 2)
('eight pound QUANTITY', 2)
('eight per cent MONEY', 2)
('egbert king PERSON', 2)
('edwin king PERSON', 2)
('edward yard PERSON', 2)
('edward massey PERSON', 2)
('edward hungerford PERSON', 2)
('edward dantsey PERSON', 2)
('edward courtney PERSON', 2)
('edward butler PERSON', 2)
('edward bellingham PERSON', 2)
('edmond butler PERSON', 2)
('ed salami PERSON', 2)
('eclipse PRODUCT', 2)
('eccles hurst PERSON', 2)
('easter-week DATE', 2)
('easter-day DATE', 2)
('east-indian NORP', 2)
('east india GPE', 2)
('earth sea LOC', 2)
('earls gerald PERSON', 2)
('earl of desmond PERSON', 2)
('earl john PERSON', 2)
('earl earl PERSON', 2)
('each night TIME', 2)
('dutton PERSON', 2)
('durston PERSON', 2)
('durham william PERSON', 2)
('dublin university of dublin ORG', 2)
('dublin city GPE', 2)
('dozens CARDINAL', 2)
('downton GPE', 2)
('dover william GPE', 2)
('don PERSON', 2)
('dobson PERSON', 2)
('dicto nuper PERSON', 2)
('desmond william brabason PERSON', 2)
('desmond PERSON', 2)
('derby crawley ORG', 2)
('depauperationem manifetam PERSON', 2)
('dee ORG', 2)
('december next year DATE', 2)
('david king PERSON', 2)
('david de barry PERSON', 2)
('daniel finch PERSON', 2)
('daniel collingwood PERSON', 2)
('dalton GPE', 2)
('curia nostra coram nobis de eo ORG', 2)
('crofton PERSON', 2)
('countryireland ORG', 2)
('cornelian NORP', 2)
('cork randall mac ORG', 2)
('cook ORG', 2)
('consuetudinem anglia ORG', 2)
('connaght marlb ORG', 2)
('comphida PERSON', 2)
('coleraine NORP', 2)
('clare earl PERSON', 2)
('clanmorris pierce butler ORG', 2)
('claneboy ORG', 2)
('christopher wandesford PERSON', 2)
('christopher plunket PERSON', 2)
('charles trevannian PERSON', 2)
('charles stewart PERSON', 2)
('charles sadly PERSON', 2)
('charles moore PERSON', 2)
('charles mac PERSON', 2)
('charles lord brandon PERSON', 2)
('charles lambert of PERSON', 2)
('charles houghton PERSON', 2)
('charles gutsier PERSON', 2)
('charles coote PERSON', 2)
('charles brandon PERSON', 2)
('charles bodvile PERSON', 2)
('chang PERSON', 2)
('cavendish NORP', 2)
('causam PERSON', 2)
('catholic NORP', 2)
('castlemaine ORG', 2)
('cashell edward conway ORG', 2)
('carey PERSON', 2)
('camp earl FAC', 2)
('cahir mountjoy blunt ORG', 2)
('broghill conner mac ORG', 2)
('brittas GPE', 2)
('britol axon PERSON', 2)
('bound s janua lunchroom ORG', 2)
('boscawen PERSON', 2)
('bolton PERSON', 2)
('bodin de rep PERSON', 2)
('blesinton granard lanesborough ORG', 2)
('bishop york GPE', 2)
('between york GPE', 2)
('between christmas and DATE', 2)
('berminghams bruce ORG', 2)
('benjamin skutt PERSON', 2)
('benjamin newland knight PERSON', 2)
('benjamin clark PERSON', 2)
('belgian NORP', 2)
('belgia ORG', 2)
('belgia GPE', 2)
('bedford pawlet st john esq FAC', 2)
('balsera GPE', 2)
('balsas GPE', 2)
('baldwin earl PERSON', 2)
("aureng-zebe's PERSON", 2)
('athenry gerald courcey PERSON', 2)
('athenry cahir PERSON', 2)
('at least an hundred CARDINAL', 2)
('as three CARDINAL', 2)
('arthur owen PERSON', 2)
('arthur harris PERSON', 2)
('arragon GPE', 2)
('aristotle ORG', 2)
('arabian NORP', 2)
('april to september DATE', 2)
('appleton PERSON', 2)
('antichristian NORP', 2)
('anthony st PERSON', 2)
('anthony irby PERSON', 2)
('anno william PERSON', 2)
('anne warner PERSON', 2)
('anglia GPE', 2)
('an opportune season DATE', 2)
('amterdam becaue PERSON', 2)
('almost the half CARDINAL', 2)
('almerick de PERSON', 2)
('allen de la zouch PERSON', 2)
('all night TIME', 2)
('all day DATE', 2)
('alias shaftsbury PERSON', 2)
('alias madonna PERSON', 2)
('alias lanceston PERSON', 2)
('alderman NORP', 2)
('afternoon TIME', 2)
('africa wet-india GPE', 2)
('africa west-india GPE', 2)
('africa GPE', 2)
('acetiam PERSON', 2)
('about two pound QUANTITY', 2)
('about twenty years DATE', 2)
('about twelve CARDINAL', 2)
('about three hundred and eventy CARDINAL', 2)
('about thirty years last past DATE', 2)
('about thirty years DATE', 2)
('about ten miles QUANTITY', 2)
('about sixty thousand pounds QUANTITY', 2)
('about sixty thouand pounds QUANTITY', 2)
('about four pounds QUANTITY', 2)
('about forty years DATE', 2)
('about five hundred thouand pounds CARDINAL', 2)
('about five and twenty years CARDINAL', 2)
('about fifteen sail QUANTITY', 2)
('about eight thousand CARDINAL', 2)
('about eight or nine years CARDINAL', 2)
('about eight CARDINAL', 2)
('about a mile QUANTITY', 2)
('abington GPE', 2)
('a very few years last past DATE', 2)
('a minute TIME', 2)
('a million and half CARDINAL', 2)
('a little after TIME', 2)
('a cor of years DATE', 2)
('zouchaeus elem jurisp PERSON', 1)
('zoom breda ORG', 1)
('zeli NORP', 1)
('york w h ORG', 1)
('york w g PERSON', 1)
('york stanford ORG', 1)
('york city GPE', 1)
('york anno newborough abbey PERSON', 1)
('yeomans NORP', 1)
('years months and days old DATE', 1)
('years months and day DATE', 1)
('years jan last DATE', 1)
('years ferthuf years theodorich years DATE', 1)
('year-book DATE', 1)
('yarn ps perculles ps PERSON', 1)
('yamboe GPE', 1)
('xoxom PERSON', 1)
('wych knight henry powle esq PERSON', 1)
('worthorp ORG', 1)
('wormbridg marsley-hill PERSON', 1)
('worcestershire thomas folly PERSON', 1)
('wootton PERSON', 1)
('wooton beset PERSON', 1)
('wooton GPE', 1)
('woolsey PERSON', 1)
('woodward PERSON', 1)
('wolverhampton GPE', 1)
('witton wheldrake ORG', 1)
('wirtemburg PERSON', 1)
('wirtemburg GPE', 1)
('wimbleton anno cheaulin king of the ORG', 1)
('willis PERSON', 1)
('williams rathcoole bareford bulkley ORG', 1)
('williams francis st john esq PERSON', 1)
('william wiseman PERSON', 1)
('william wimondham PERSON', 1)
('william wickham PERSON', 1)
('william whittleseay PERSON', 1)
('william warham PERSON', 1)
('william walter PERSON', 1)
('william viscount stafford PERSON', 1)
('william viscount PERSON', 1)
('william treviza PERSON', 1)
('william tracy PERSON', 1)
('william the norman PERSON', 1)
('william taylor PERSON', 1)
('william tallboies PERSON', 1)
('william swinderly PERSON', 1)
('william swinderby PERSON', 1)
('william surnamed PERSON', 1)
('william strode PERSON', 1)
('william stockdale PERSON', 1)
('william stocdale esq PERSON', 1)
('william stawel PERSON', 1)
('william standley PERSON', 1)
('william spencer junior PERSON', 1)
('william spencer PERSON', 1)
('william smith PERSON', 1)
('william seymour PERSON', 1)
('william sclater PERSON', 1)
('william sawtree PERSON', 1)
('william sacheveril esq PERSON', 1)
('william sacheverell esq PERSON', 1)
("william rufus's PERSON", 1)
('william rider PERSON', 1)
('william rawlinson PERSON', 1)
('william rastel PERSON', 1)
('william rastall price PERSON', 1)
('william poultney PERSON', 1)
('william poulteney knight PERSON', 1)
('william perkins PERSON', 1)
('william paget PERSON', 1)
('william of wickham PERSON', 1)
('william of ancho PERSON', 1)
('william mountagu PERSON', 1)
('william morris PERSON', 1)
('william morgan PERSON', 1)
('william more PERSON', 1)
('william montague PERSON', 1)
('william marshal earl PERSON', 1)
('william lise PERSON', 1)
('william leviston gower PERSON', 1)
('william leveston PERSON', 1)
('william leveson PERSON', 1)
('william lenthal jo PERSON', 1)
('william leighton PERSON', 1)
('william leach PERSON', 1)
('william langham knight PERSON', 1)
('william langchamp PERSON', 1)
('william kingston PERSON', 1)
('william king greet PERSON', 1)
('william king PERSON', 1)
('william killingworth PERSON', 1)
('william jephson PERSON', 1)
('william jennings PERSON', 1)
('william holms PERSON', 1)
('william hieron PERSON', 1)
('william hicman PERSON', 1)
('william hickman PERSON', 1)
('william herle PERSON', 1)
('william herbert earl PERSON', 1)
('william hawtree PERSON', 1)
('william hawham PERSON', 1)
('william guston PERSON', 1)
('william glide esq PERSON', 1)
('william glanvill esq PERSON', 1)
('william glanvill PERSON', 1)
('william franckland knight PERSON', 1)
('william flower PERSON', 1)
("william fitz-williams's PERSON", 1)
('william finch PERSON', 1)
('william dolben PERSON', 1)
('william coryton PERSON', 1)
('william coriton PERSON', 1)
('william corbell PERSON', 1)
('william caxton PERSON', 1)
('william catesby PERSON', 1)
('william carter PERSON', 1)
('william bulmer PERSON', 1)
('william brandon PERSON', 1)
('william boynton PERSON', 1)
('william boulter PERSON', 1)
('william boswel PERSON', 1)
('william boscawen PERSON', 1)
('william blakeston PERSON', 1)
('william bishop PERSON', 1)
('william beal PERSON', 1)
('william bateman anno doom PERSON', 1)
('william bastard PERSON', 1)
('william barnsley PERSON', 1)
('william barkley PERSON', 1)
('william ascough knight PERSON', 1)
('wigon GPE', 1)
('whitton GPE', 1)
('wharfs PERSON', 1)
('westmoreland allan PERSON', 1)
('westmerland brayton luswick FAC', 1)
('west tim LOC', 1)
('west many NORP', 1)
('west indians NORP', 1)
('west indian NORP', 1)
('west india GPE', 1)
('west england LOC', 1)
('west and NORP', 1)
('west LOC', 1)
('werkinton egremond PERSON', 1)
('wellynton newport braynton ORG', 1)
('wells john hall esq ORG', 1)
('well fifty as five years CARDINAL', 1)
('weldon PERSON', 1)
('wednesday night TIME', 1)
('wasso PERSON', 1)
('washington GPE', 1)
('warren sr roger PERSON', 1)
('warren jefferies PERSON', 1)
('walton PERSON', 1)
('walter vincent PERSON', 1)
('walter st john bar PERSON', 1)
('walter st john PERSON', 1)
('walter norban PERSON', 1)
('walter mildmay PERSON', 1)
('walter long PERSON', 1)
('walter hungerford PERSON', 1)
('walter harpington PERSON', 1)
('walter earnley PERSON', 1)
('walter devereux earl PERSON', 1)
('walter de merton PERSON', 1)
('walter bishop PERSON', 1)
('walter bagott PERSON', 1)
('walter baggot PERSON', 1)
('walter PERSON', 1)
("wakeman's ORG", 1)
('w and s east PRODUCT', 1)
('vvilliam miller PERSON', 1)
('vvilliam langham knight town PERSON', 1)
('vvilliam blacket PERSON', 1)
('vobis ORG', 1)
('vizv PERSON', 1)
('viz york GPE', 1)
('viz religion justice council confederation commerce ORG', 1)
('viz jack PERSON', 1)
("viz hamo's PERSON", 1)
('viscount st ORG', 1)
('viscount newport cherbury PRODUCT', 1)
('virgil ORG', 1)
('vincent corbet PERSON', 1)
('villeroy PERSON', 1)
('viij PERSON', 1)
('viel vivian PERSON', 1)
('vicesimo nono PERSON', 1)
('vicesimo PERSON', 1)
('veterem PERSON', 1)
('vet parl PERSON', 1)
('vet council of africa ORG', 1)
('vet bernh var relig ORG', 1)
('vespasian NORP', 1)
('very minute TIME', 1)
('verona PERSON', 1)
('venison PERSON', 1)
('venice germany GPE', 1)
('veneris aprilis jacobi PERSON', 1)
('veneris aprilis PERSON', 1)
('venerablia evangelia PERSON', 1)
('vel publicetur PERSON', 1)
('vel principem PERSON', 1)
('vel consuevit curer PERSON', 1)
('vel cogitavit PERSON', 1)
('vatican FAC', 1)
('van york p GPE', 1)
('van trump PERSON', 1)
('va candera arrellure neggapatam madre naigue jelcurcoo ORG', 1)
('us than one CARDINAL', 1)
('untill GPE', 1)
('unsettle ORG', 1)
('universitas ORG', 1)
('united stoks ORG', 1)
('undy ORG', 1)
('undisturb ORG', 1)
('under years DATE', 1)
('under twenty seven years of age DATE', 1)
('under poor half year DATE', 1)
('under five pound QUANTITY', 1)
('uncontroll ORG', 1)
('uncancell ORG', 1)
('ultra crepidam therefore PERSON', 1)
('tyrannicum bush lib PERSON', 1)
('two years viz june DATE', 1)
('two years old DATE', 1)
('two years and two months DATE', 1)
('two years and three months DATE', 1)
('two years ago DATE', 1)
('two weeks DATE', 1)
('two to eight pence DATE', 1)
('two thousand two hundred years DATE', 1)
('two sometimes three years DATE', 1)
('two shillings three pence MONEY', 1)
('two several six months DATE', 1)
('two several days DATE', 1)
('two pounds QUANTITY', 1)
('two pence MONEY', 1)
('two or three thousand old DATE', 1)
('two or three months in the year DATE', 1)
('two or three miles QUANTITY', 1)
('two or three hundred thousand DATE', 1)
('two or three hundred CARDINAL', 1)
('two or three hours TIME', 1)
('two or CARDINAL', 1)
('two next years DATE', 1)
('two months and thirteen days DATE', 1)
('two millions three hundred twenty three thousand eight hundred and nine DATE', 1)
('two millions or one CARDINAL', 1)
('two millions forty one thousand one hundred and eight CARDINAL', 1)
('two miles QUANTITY', 1)
('two marlo QUANTITY', 1)
('two in the morning TIME', 1)
('two hundred thousand pounds a year CARDINAL', 1)
('two hundred pounds QUANTITY', 1)
('two hundred marks MONEY', 1)
('two hundred and two CARDINAL', 1)
('two hundred and thirty years DATE', 1)
('two hundred and seventy CARDINAL', 1)
('two hundred and fifty thousand CARDINAL', 1)
('two dozen CARDINAL', 1)
('two dollars MONEY', 1)
('two and an half per cent DATE', 1)
('two and an half DATE', 1)
('twenty years ten months DATE', 1)
('twenty years six months DATE', 1)
('twenty two millions one hundred ninty one thousand two hundred fifty CARDINAL', 1)
('twenty three years DATE', 1)
('twenty thousand guilders MONEY', 1)
('twenty third CARDINAL', 1)
('twenty six months DATE', 1)
('twenty sail QUANTITY', 1)
('twenty or twenty one thousand pounds CARDINAL', 1)
('twenty or thirty foot QUANTITY', 1)
('twenty four millions five hundred eighty eight thousand six hundred ninty two CARDINAL', 1)
('twenty four hours TIME', 1)
('twenty five years DATE', 1)
('twenty five thousand CARDINAL', 1)
('twenty five seven DATE', 1)
('twenty five CARDINAL', 1)
('twenty days ago DATE', 1)
('twenty and thirty pounds QUANTITY', 1)
('twenty acres QUANTITY', 1)
('twentieth DATE', 1)
('twelve thousand pounds QUANTITY', 1)
('twelve than one CARDINAL', 1)
('twelve or fourteen CARDINAL', 1)
('twelve or fifteen hundred QUANTITY', 1)
('twelve or fifteen foot QUANTITY', 1)
('twelve or fifteen CARDINAL', 1)
('twelve or CARDINAL', 1)
('twelve nights DATE', 1)
('twelve mark MONEY', 1)
('twelve hundred sail QUANTITY', 1)
('twelve hundred CARDINAL', 1)
('twelve foot QUANTITY', 1)
('twelve degrees QUANTITY', 1)
('tuysco ORG', 1)
('turner ORG', 1)
('turk PERSON', 1)
('turcicis PERSON', 1)
('tuam bishopric ORG', 1)
('truro ORG', 1)
('tres GPE', 1)
('travell ORG', 1)
('trahatur GPE', 1)
('tractantur explicantur GPE', 1)
('tota respublica PERSON', 1)
('tomorrow DATE', 1)
('tom reflections PERSON', 1)
('tom gallican PERSON', 1)
('to many hundred thousands CARDINAL', 1)
('tit lib PERSON', 1)
('tintorn abbey PERSON', 1)
('tinctur ORG', 1)
('timean NORP', 1)
('thuan hist PERSON', 1)
('throno GPE', 1)
('three years of age DATE', 1)
('three years and ten months DATE', 1)
('three weeks to DATE', 1)
('three to six CARDINAL', 1)
('three to one CARDINAL', 1)
('three thousand marks MONEY', 1)
('three thousand five hundred CARDINAL', 1)
('three per cent MONEY', 1)
('three or four years of age DATE', 1)
('three or four thousand CARDINAL', 1)
('three or four months DATE', 1)
('three or four hours TIME', 1)
('three or five years DATE', 1)
('three nights TIME', 1)
('three nights DATE', 1)
('three months old DATE', 1)
('three hundred years ago DATE', 1)
('three hundred years DATE', 1)
('three hundred thousand pounds CARDINAL', 1)
('three hundred miles QUANTITY', 1)
('three hundred marks MONEY', 1)
('three hundred and thirty CARDINAL', 1)
('three hundred and seventy eight thousand pounds CARDINAL', 1)
('three full hours TIME', 1)
('three four six and eight DATE', 1)
('three days and nights DATE', 1)
('three court days DATE', 1)
('thracian NORP', 1)
('thousand yards QUANTITY', 1)
('those many years DATE', 1)
('those first ages DATE', 1)
('thorsday DATE', 1)
('thompson first PERSON', 1)
('thompson ORG', 1)
('thomond earl PERSON', 1)
('thomas wilbraham PERSON', 1)
('thomas whitley PERSON', 1)
('thomas white PERSON', 1)
('thomas walcot PERSON', 1)
('thomas vvyndam PERSON', 1)
('thomas tyrrel PERSON', 1)
('thomas tristram PERSON', 1)
('thomas trenchard PERSON', 1)
('thomas thorpe PERSON', 1)
('thomas teisdale PERSON', 1)
('thomas stafford PERSON', 1)
('thomas seymour PERSON', 1)
('thomas scot PERSON', 1)
('thomas rutham PERSON', 1)
