format is (<name> <TYPE>, <frequency>)
('solito PERSON', 5)
('sixty thousand pounds QUANTITY', 5)
('sixty pounds QUANTITY', 5)
('sixteenth ORDINAL', 5)
('sixteen years DATE', 5)
('season DATE', 5)
('sci fa ORG', 5)
('samuel clark PERSON', 5)
('robert clavel PERSON', 5)
('richard hart PERSON', 5)
('reviv GPE', 5)
('pryn GPE', 5)
('presbyterian NORP', 5)
('porto novo PERSON', 5)
('partibus GPE', 5)
('one million and half CARDINAL', 5)
('noon-day DATE', 5)
('newport ORG', 5)
('navigation exchange ORG', 5)
('margaret countess PERSON', 5)
('malcolm king PERSON', 5)
('magna charta h PERSON', 5)
('macedon PERSON', 5)
('knights service ORG', 5)
('k james PERSON', 5)
('joseph PERSON', 5)
('john rushworth PERSON', 5)
('john kirckham PERSON', 5)
('john jacobs PERSON', 5)
('john davies PERSON', 5)
('john darcy PERSON', 5)
('john clark PERSON', 5)
('john child PERSON', 5)
('johanne wallis s s th PERSON', 5)
('jan CARDINAL', 5)
('james king PERSON', 5)
('jack PERSON', 5)
('israel GPE', 5)
('hours TIME', 5)
('henry killigrew PERSON', 5)
('henry baton PERSON', 5)
('half a dozen CARDINAL', 5)
('gore PERSON', 5)
('gerald earl PERSON', 5)
('gentian NORP', 5)
('four precedent years DATE', 5)
('four or five CARDINAL', 5)
('forty five DATE', 5)
('fitz ORG', 5)
('fieri GPE', 5)
('ethelbert PERSON', 5)
('eleven years DATE', 5)
('eighteen months DATE', 5)
('eighteen CARDINAL', 5)
('edward norris PERSON', 5)
('dundalk GPE', 5)
('dun ORG', 5)
('debarr PERSON', 5)
('de debito PERSON', 5)
('davis PERSON', 5)
('charles smith PERSON', 5)
('charles leach PERSON', 5)
('brereton PERSON', 5)
('bracton lib PERSON', 5)
('ben PERSON', 5)
('banco GPE', 5)
('assur PERSON', 5)
('arthur ingram PERSON', 5)
('an hour TIME', 5)
('africa ellis leighton ORG', 5)
('aetna ORG', 5)
('above years DATE', 5)
('about the year about years DATE', 5)
('ab ORG', 5)
('a term of years DATE', 5)
('a month DATE', 5)
('york earl PERSON', 4)
('years of age DATE', 4)
('william wells robert scot epicedia PERSON', 4)
('william waller PERSON', 4)
('william thrasher PERSON', 4)
('william thackeray PERSON', 4)
('william skiffington PERSON', 4)
('william parsons PERSON', 4)
('william marshal PERSON', 4)
('william holder PERSON', 4)
('william gore PERSON', 4)
('william fulk PERSON', 4)
('william duke PERSON', 4)
('william de windsor PERSON', 4)
('william cock PERSON', 4)
('william bridgeman PERSON', 4)
('william bradley PERSON', 4)
('william birch PERSON', 4)
('white-hall ORG', 4)
('west-smith GPE', 4)
('walter mountague PERSON', 4)
('walter birmingham PERSON', 4)
('viz de reditu PERSON', 4)
('viro GPE', 4)
('vestigantur GPE', 4)
('verulam viscount st alban PERSON', 4)
('verse juccenem PERSON', 4)
('two or three months DATE', 4)
('two millions and half CARDINAL', 4)
('twenty pound QUANTITY', 4)
('twenty pence MONEY', 4)
('twenty or thirty CARDINAL', 4)
('twenty one years DATE', 4)
('twenty miles QUANTITY', 4)
('twenty four hundred CARDINAL', 4)
('twelve hundred fifty six thousand three hundred forty CARDINAL', 4)
('twelve hundred and threescore thousand pounds CARDINAL', 4)
('twelve hundred and sixty thousand pounds CARDINAL', 4)
('turkia GPE', 4)
('trigandriana seu de ORG', 4)
('thurday DATE', 4)
('thuanea opera b ORG', 4)
('threescore thousand pounds QUANTITY', 4)
('three whole years DATE', 4)
('three miles QUANTITY', 4)
('three hundred and ten thousand pounds CARDINAL', 4)
('three fourths QUANTITY', 4)
('thousands pounds QUANTITY', 4)
('thousand pounds QUANTITY', 4)
('thomas scott PERSON', 4)
('thomas mun PERSON', 4)
('thomas helder PERSON', 4)
('thomas fairfax PERSON', 4)
